userId,vendorId,rating,text
41,15,5,One of the best meals I've had in Delhi. Highly recommended.
16,29,5,Absolutely loved the food. Fresh ingredients and excellent taste.
44,70,5,Authentic taste with generous portions and friendly staff.
3,4,5,Great flavors and quick service. Would definitely visit again.
33,4,4,Worth every rupee. Delicious and hygienic.
27,29,4,One of the best meals I've had in Delhi. Highly recommended.
1,21,3,Nice place overall though seating could improve.
18,20,5,One of the best meals I've had in Delhi. Highly recommended.
7,12,4,One of the best meals I've had in Delhi. Highly recommended.
23,34,3,Reasonable pricing with satisfactory quality.
35,16,1,Not a great experience. Can be improved.
6,71,5,Worth every rupee. Delicious and hygienic.
24,74,5,Absolutely loved the food. Fresh ingredients and excellent taste.
3,30,3,Food was decent and service was average.
15,13,4,Authentic taste with generous portions and friendly staff.
41,47,5,One of the best meals I've had in Delhi. Highly recommended.
14,35,3,Food was decent and service was average.
39,22,4,Great flavors and quick service. Would definitely visit again.
11,60,4,Worth every rupee. Delicious and hygienic.
15,42,3,Food was decent and service was average.
15,5,3,Reasonable pricing with satisfactory quality.
18,9,5,Worth every rupee. Delicious and hygienic.
46,41,5,Authentic taste with generous portions and friendly staff.
26,59,5,Great flavors and quick service. Would definitely visit again.
16,72,4,Worth every rupee. Delicious and hygienic.
28,75,4,Great flavors and quick service. Would definitely visit again.
9,66,4,Absolutely loved the food. Fresh ingredients and excellent taste.
8,20,4,Authentic taste with generous portions and friendly staff.
39,9,4,Worth every rupee. Delicious and hygienic.
30,68,5,Worth every rupee. Delicious and hygienic.
1,15,3,Nice place overall though seating could improve.
50,44,5,Authentic taste with generous portions and friendly staff.
11,59,5,One of the best meals I've had in Delhi. Highly recommended.
33,23,4,Absolutely loved the food. Fresh ingredients and excellent taste.
41,39,3,Good taste but waiting time was a little long.
10,48,3,Food was decent and service was average.
39,42,4,Absolutely loved the food. Fresh ingredients and excellent taste.
24,40,5,Great flavors and quick service. Would definitely visit again.
37,11,5,Authentic taste with generous portions and friendly staff.
5,69,3,Good taste but waiting time was a little long.
43,61,2,Service was slow and the order was delayed.
17,68,2,Not a great experience. Can be improved.
14,70,3,Good taste but waiting time was a little long.
46,40,4,One of the best meals I've had in Delhi. Highly recommended.
29,67,4,Great flavors and quick service. Would definitely visit again.
15,9,5,Worth every rupee. Delicious and hygienic.
36,30,4,Absolutely loved the food. Fresh ingredients and excellent taste.
5,8,5,Absolutely loved the food. Fresh ingredients and excellent taste.
22,10,4,One of the best meals I've had in Delhi. Highly recommended.
43,63,5,Great flavors and quick service. Would definitely visit again.
47,74,4,Great flavors and quick service. Would definitely visit again.
31,53,5,Absolutely loved the food. Fresh ingredients and excellent taste.
43,56,4,Authentic taste with generous portions and friendly staff.
30,7,3,Food was decent and service was average.
4,52,3,Food was decent and service was average.
16,25,5,Authentic taste with generous portions and friendly staff.
9,55,5,Authentic taste with generous portions and friendly staff.
16,10,4,Worth every rupee. Delicious and hygienic.
7,7,3,Food was decent and service was average.
6,31,5,Authentic taste with generous portions and friendly staff.
31,28,2,Food was cold when served and lacked flavor.
11,49,5,Authentic taste with generous portions and friendly staff.
17,59,5,Worth every rupee. Delicious and hygienic.
43,63,5,One of the best meals I've had in Delhi. Highly recommended.
14,8,4,Worth every rupee. Delicious and hygienic.
4,41,5,Worth every rupee. Delicious and hygienic.
31,65,2,Service was slow and the order was delayed.
4,66,5,Great flavors and quick service. Would definitely visit again.
5,9,3,Good taste but waiting time was a little long.
26,16,2,Service was slow and the order was delayed.
38,6,4,Authentic taste with generous portions and friendly staff.
43,75,4,One of the best meals I've had in Delhi. Highly recommended.
17,27,3,Nice place overall though seating could improve.
16,34,4,One of the best meals I've had in Delhi. Highly recommended.
30,41,2,Food was cold when served and lacked flavor.
1,59,4,Worth every rupee. Delicious and hygienic.
7,10,4,Worth every rupee. Delicious and hygienic.
17,17,2,Food was cold when served and lacked flavor.
16,48,5,Authentic taste with generous portions and friendly staff.
35,39,4,Worth every rupee. Delicious and hygienic.
1,71,5,Absolutely loved the food. Fresh ingredients and excellent taste.
9,34,5,Absolutely loved the food. Fresh ingredients and excellent taste.
48,71,5,One of the best meals I've had in Delhi. Highly recommended.
39,27,3,Good taste but waiting time was a little long.
44,34,4,One of the best meals I've had in Delhi. Highly recommended.
4,12,4,One of the best meals I've had in Delhi. Highly recommended.
3,1,5,Great flavors and quick service. Would definitely visit again.
41,34,5,Authentic taste with generous portions and friendly staff.
36,55,4,Absolutely loved the food. Fresh ingredients and excellent taste.
5,20,4,One of the best meals I've had in Delhi. Highly recommended.
38,71,5,Great flavors and quick service. Would definitely visit again.
3,40,4,Absolutely loved the food. Fresh ingredients and excellent taste.
23,27,3,Food was decent and service was average.
23,72,2,Not a great experience. Can be improved.
40,20,2,Service was slow and the order was delayed.
11,23,2,Food was cold when served and lacked flavor.
12,43,3,Reasonable pricing with satisfactory quality.
43,32,5,Absolutely loved the food. Fresh ingredients and excellent taste.
25,5,2,Service was slow and the order was delayed.
13,59,5,Great flavors and quick service. Would definitely visit again.
15,4,3,Reasonable pricing with satisfactory quality.
22,36,2,Expected better quality for the price.
23,66,4,Worth every rupee. Delicious and hygienic.
22,4,5,One of the best meals I've had in Delhi. Highly recommended.
12,75,1,Expected better quality for the price.
3,14,4,One of the best meals I've had in Delhi. Highly recommended.
47,41,4,Worth every rupee. Delicious and hygienic.
8,50,2,Service was slow and the order was delayed.
17,6,3,Food was decent and service was average.
34,69,3,Good taste but waiting time was a little long.
24,56,5,One of the best meals I've had in Delhi. Highly recommended.
40,41,3,Food was decent and service was average.
47,39,4,Authentic taste with generous portions and friendly staff.
21,52,3,Good taste but waiting time was a little long.
13,54,3,Reasonable pricing with satisfactory quality.
44,23,4,One of the best meals I've had in Delhi. Highly recommended.
26,71,3,Nice place overall though seating could improve.
