vendorId,name,price,description,categoryId,isVeg,isAvailable
1,Papdi Chaat,120,Our signature papdi chaat prepared fresh using quality ingredients and authentic flavors.,5,True,True
1,Dahi Bhalla,100,Our signature dahi bhalla prepared fresh using quality ingredients and authentic flavors.,5,True,True
1,Aloo Tikki,90,Our signature aloo tikki prepared fresh using quality ingredients and authentic flavors.,5,True,True
1,Pani Puri,60,Our signature pani puri prepared fresh using quality ingredients and authentic flavors.,5,True,True
1,Raj Kachori,140,Our signature raj kachori prepared fresh using quality ingredients and authentic flavors.,5,True,True
2,Butter Chicken,320,Our signature butter chicken prepared fresh using quality ingredients and authentic flavors.,3,False,True
2,Tandoori Chicken,380,Our signature tandoori chicken prepared fresh using quality ingredients and authentic flavors.,3,False,True
2,Paneer Butter Masala,260,Our signature paneer butter masala prepared fresh using quality ingredients and authentic flavors.,3,True,True
2,Dal Makhani,220,Our signature dal makhani prepared fresh using quality ingredients and authentic flavors.,3,True,True
2,Butter Naan,50,Our signature butter naan prepared fresh using quality ingredients and authentic flavors.,3,True,True
3,Masala Dosa,140,Our signature masala dosa prepared fresh using quality ingredients and authentic flavors.,2,True,True
3,Idli Sambar,90,Our signature idli sambar prepared fresh using quality ingredients and authentic flavors.,2,True,True
3,Medu Vada,100,Our signature medu vada prepared fresh using quality ingredients and authentic flavors.,2,True,True
3,Plain Dosa,110,Our signature plain dosa prepared fresh using quality ingredients and authentic flavors.,2,True,True
3,Filter Coffee,60,Our signature filter coffee prepared fresh using quality ingredients and authentic flavors.,2,True,True
4,Chicken Biryani,280,Our signature chicken biryani prepared fresh using quality ingredients and authentic flavors.,6,False,True
4,Mutton Biryani,360,Our signature mutton biryani prepared fresh using quality ingredients and authentic flavors.,6,False,True
4,Veg Biryani,220,Our signature veg biryani prepared fresh using quality ingredients and authentic flavors.,6,True,True
4,Raita,40,Our signature raita prepared fresh using quality ingredients and authentic flavors.,6,True,True
4,Double Ka Meetha,120,Our signature double ka meetha prepared fresh using quality ingredients and authentic flavors.,6,True,True
5,Hakka Noodles,180,Our signature hakka noodles prepared fresh using quality ingredients and authentic flavors.,4,True,True
5,Chilli Paneer,220,Our signature chilli paneer prepared fresh using quality ingredients and authentic flavors.,4,True,True
